time,temperature,humidity
1502552016000,29.4,72.1
1502552616000,29.7,71.2
1502553216000,29.7,70.7
1502553816000,29.7,70.7
1502554416000,30.2,69.9
1502555016000,30.1,69.4
1502555616000,30.1,69.4
1502556216000,30.0,69.4
1502556816000,30.8,68.6
1502557416000,31.8,66.8
1502558016000,32.4,65.0
1502558616000,32.5,64.5
1502559216000,32.2,64.5
1502559816000,31.8,64.9
1502560416000,31.5,65.4
1502561016000,31.1,65.8
1502561616000,30.7,66.7
1502562216000,30.5,67.1
1502562816000,30.5,67.6
1502563416000,31.4,66.3
1502564016000,31.3,65.8
1502564616000,31.1,66.3
1502565216000,31.0,66.2
1502565816000,30.7,66.7
1502566416000,30.5,67.1
1502567016000,30.4,67.6
1502567616000,30.4,67.6
1502568216000,30.4,67.6
1502568816000,30.5,67.6
1502569416000,30.5,67.6
1502570016000,30.6,67.1
1502570616000,30.6,67.1
1502571216000,30.7,67.2
1502571816000,30.7,67.2
1502572416000,30.8,67.2
1502573016000,30.8,67.2
1502573616000,30.8,66.7
1502574216000,30.8,67.2
1502574816000,30.7,67.2
1502575416000,30.7,67.2
1502576016000,30.7,67.2
1502576616000,30.7,67.2
1502577216000,30.7,67.1
1502577816000,30.6,67.1
1502578416000,30.6,67.1
1502579016000,30.5,67.6
1502579616000,30.3,68.0
1502580216000,30.0,68.5
1502580816000,29.7,68.9
1502581416000,29.6,69.3
1502582016000,29.5,69.3
1502582616000,29.5,69.8
1502583216000,29.4,69.8
1502583816000,29.3,70.2
1502584416000,29.1,70.2
1502585016000,29.0,70.6
1502585616000,28.8,71.1
1502586216000,28.7,71.5
1502586816000,28.5,71.5
1502587416000,28.4,71.9
1502588016000,28.3,72.3
1502588616000,28.1,72.8
1502589216000,28.0,73.2
1502589816000,27.8,73.2
1502590416000,27.7,73.6
1502591016000,27.7,74.0
1502591616000,27.6,74.5
1502592216000,27.5,74.9
1502592816000,27.4,75.3
1502593416000,27.3,75.3
1502594016000,27.3,75.3
1502594616000,27.2,75.7
1502595216000,27.2,75.7
1502595816000,27.2,75.7
1502596416000,27.2,76.2
1502597016000,27.1,76.2
1502597616000,27.1,76.2
1502598216000,27.1,76.1
1502598816000,27.0,76.6
1502599416000,27.0,76.6
1502600016000,27.0,76.6
1502600616000,27.0,76.6
1502601216000,27.0,77.0
1502601816000,26.9,77.0
1502602416000,26.9,77.0
1502603016000,26.8,77.0
1502603616000,26.8,77.0
1502604216000,26.8,77.4
1502604816000,26.8,77.4
1502605416000,26.8,77.4
1502606016000,26.8,77.4
1502606616000,26.8,77.4
1502607216000,26.7,77.4
1502607816000,26.7,77.4
1502608416000,26.7,77.4
1502609016000,26.6,77.8
1502609616000,26.5,77.8
1502610216000,26.4,78.2
1502610816000,26.2,78.6
1502611416000,26.2,78.6
1502612016000,26.1,79.0
1502612616000,26.0,79.0
1502613216000,25.7,79.4
1502613816000,25.4,80.2
1502614416000,24.9,80.9
1502615016000,24.3,82.0
1502615616000,23.9,83.2
1502616216000,23.7,84.3
1502616816000,23.6,84.7
1502617416000,23.4,85.1
1502618016000,23.3,85.5
1502618616000,23.3,85.9
1502619216000,23.4,86.3
1502619816000,23.4,86.3
1502620416000,23.5,85.9
1502621016000,23.7,85.6
1502621616000,23.9,85.2
1502622216000,24.0,84.8
1502622816000,24.2,84.5
1502623416000,24.3,84.1
1502624016000,24.4,84.1
1502624616000,24.5,83.7
1502625216000,24.5,83.3
1502625816000,24.5,83.3
1502626416000,24.5,83.3
1502627016000,24.5,83.3
1502627616000,24.5,83.3
1502628216000,24.5,82.9
1502628816000,24.5,82.9
1502629416000,24.6,82.9
1502630016000,24.6,82.9
1502630616000,24.7,82.5
1502631216000,24.7,82.5
1502631816000,24.8,82.1
1502632416000,24.9,81.7
1502633016000,25.0,81.7
1502633616000,25.0,81.8
1502634216000,25.1,81.8
1502634816000,25.1,81.4
1502635416000,25.2,81.4
1502636016000,25.3,81.0
1502636616000,25.4,81.0
1502637216000,25.5,80.6
1502637816000,25.5,80.2
1502638416000,24.9,80.9
1502639016000,25.0,81.3
1502639616000,25.5,81.0
1502640216000,26.1,79.8
1502640816000,26.4,79.1
1502641416000,26.7,78.7
1502642016000,26.9,77.9
1502642616000,26.9,77.8
1502643216000,26.9,77.9
1502643816000,27.2,77.0
1502644416000,27.7,76.2
1502645016000,28.0,75.4
1502645616000,28.0,75.0
1502646216000,28.0,74.5
1502646816000,27.7,74.9
1502647416000,27.3,75.3
1502648016000,27.0,75.7
1502648616000,26.9,76.1
1502649216000,26.7,76.5
1502649816000,26.6,76.9
1502650416000,26.5,76.9
1502651016000,26.4,76.9
1502651616000,26.4,76.9
1502652216000,26.4,76.9
1502652816000,26.3,76.9
1502653416000,26.2,77.3
1502654016000,26.2,77.3
1502654616000,26.1,77.7
1502655216000,26.1,77.7
1502655816000,26.1,77.7
1502656416000,26.0,77.7
1502657016000,26.0,77.7
1502657616000,26.0,78.1
1502658216000,26.0,77.7
1502658816000,26.0,77.7
1502659416000,26.0,77.7
1502660016000,26.0,77.7
1502660616000,26.1,77.7
1502661216000,26.1,77.7
1502661816000,26.1,77.7
1502662416000,26.1,77.7
1502663016000,26.2,77.7
1502663616000,26.2,77.3
1502664216000,26.2,77.3
1502664816000,26.3,77.3
1502665416000,26.3,76.9
1502666016000,26.3,76.9
1502666616000,26.4,76.9
1502667216000,26.4,76.9
1502667816000,26.5,76.9
1502668416000,26.5,76.5
1502669016000,26.5,76.5
1502669616000,26.5,76.5
1502670216000,26.5,76.5
1502670816000,26.5,76.5
1502671416000,26.5,76.5
1502672016000,26.5,76.5
1502672616000,26.5,76.0
1502673216000,26.5,76.5
1502673816000,26.5,76.0
1502674416000,26.5,76.0
1502675016000,26.5,76.0
1502675616000,26.5,76.0
1502676216000,26.5,76.0
1502676816000,26.5,76.0
1502677416000,26.5,76.0
1502678016000,26.5,76.0
1502678616000,26.5,76.0
1502679216000,26.5,76.0
1502679816000,26.4,76.0
1502680416000,26.4,76.0
1502681016000,26.3,76.4
1502681616000,26.3,76.4
1502682216000,26.3,76.4
1502682816000,26.3,76.4
1502683416000,26.2,76.4
1502684016000,26.2,76.4
1502684616000,26.2,76.4
1502685216000,26.2,76.4
1502685816000,26.2,76.4
1502686416000,26.2,76.4
1502687016000,26.2,76.8
1502687616000,26.2,76.8
1502688216000,26.2,76.8
1502688816000,26.1,76.8
1502689416000,26.1,76.8
1502690016000,26.1,76.8
1502690616000,26.1,76.8
1502691216000,26.0,76.8
1502691816000,26.0,76.8
1502692416000,26.0,76.8
1502693016000,26.0,76.8
1502693616000,26.0,76.8
1502694216000,25.9,76.8
1502694816000,25.9,77.2
1502695416000,25.9,77.2
1502696016000,25.9,77.2
1502696616000,25.9,77.2
1502697216000,25.9,77.2
1502697816000,25.8,77.2
1502698416000,25.8,77.2
1502699016000,25.8,77.2
1502699616000,25.8,77.2
1502700216000,25.7,77.6
1502700816000,25.7,77.6
1502701416000,25.7,77.6
1502702016000,25.7,77.6
1502702616000,25.7,77.6
1502703216000,25.6,77.6
1502703816000,25.6,77.6
1502704416000,25.6,77.6
1502705016000,25.6,77.6
1502705616000,25.6,77.6
1502706216000,25.6,77.6
1502706816000,25.6,77.6
1502707416000,25.5,77.6
1502708016000,25.5,77.6
1502708616000,25.5,77.6
1502709216000,25.4,78.0
1502709816000,25.4,78.0
1502710416000,25.4,78.0
1502711016000,25.4,78.0
1502711616000,25.4,78.0
1502712216000,25.4,78.0
1502712816000,25.4,78.0
1502713416000,25.4,78.0
1502714016000,25.4,78.0
1502714616000,25.4,78.0
1502715216000,25.3,78.4
1502715816000,25.3,78.4
1502716416000,25.3,78.4
1502717016000,25.4,78.4
1502717616000,25.4,78.4
1502718216000,25.4,78.4
1502718816000,25.4,78.0
1502719416000,25.4,78.0
1502720016000,25.5,78.0
1502720616000,25.6,78.0
1502721216000,25.6,78.0
1502721816000,25.7,78.1
1502722416000,25.8,78.1
1502723016000,26.0,77.7
1502723616000,26.1,77.7
1502724216000,26.2,77.7
1502724816000,26.3,77.7
1502725416000,26.4,77.3
1502726016000,26.5,76.9
1502726616000,26.6,76.9
1502727216000,26.6,76.9
1502727816000,26.7,76.9
